,id,player,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,espn_names,espn_id,picked,blacklist,Name,Pos,Team,Bye,%,pick,espnid,probpicked,pbest,emaxw,emax,opp,oc
128,13130,Christian McCaffrey,CAR,RB,24.0,3,RB,weighted,301.018094875213,1.0,30.1261216017955,32.0461836620752,270.85,347.92091286947897,1.0,184.68761085913602,1.0,170.874333333333,1.0,208.283524453884,1.0,Christian McCaffrey,3117251,False,False,Christian McCaffrey,RB,CAR,13.0,0.0,23.0,3117251,1.0,1.0,0.0,0.0,186.81474004962547,114.20335482558755
159,13604,Saquon Barkley,NYG,RB,23.0,2,RB,weighted,274.640348462198,2.0,13.1940466444784,46.513081278392,243.5,345.943601109999,1.0,158.309864446121,2.0,143.524333333333,3.0,206.306212694404,2.0,Saquon Barkley,3929630,False,False,Saquon Barkley,RB,NYG,11.0,0.0,23.0,3929630,1.0,1.0,0.0,0.0,186.81474004962547,87.82560841257254
110,12625,Ezekiel Elliott,DAL,RB,25.0,4,RB,weighted,267.143598084636,3.0,14.9146123077611,39.4398286563296,244.9,330.059824962179,1.0,150.81311406856,3.0,144.924333333333,2.0,190.422436546584,3.0,Ezekiel Elliott,3051392,False,False,Ezekiel Elliott,RB,DAL,10.0,0.0,23.0,3051392,1.0,1.0,0.0,0.0,186.81474004962547,80.32885803501051
111,12626,Derrick Henry,TEN,RB,26.0,4,RB,weighted,255.749005550803,4.0,15.9581548544886,17.9998356802829,240.6,283.062724056945,2.0,139.418521534726,4.0,140.624333333333,4.0,143.42533564135098,6.0,Derrick Henry,3043078,False,False,Derrick Henry,RB,TEN,7.0,0.0,23.0,3043078,1.0,1.0,0.0,0.0,186.81474004962547,68.93426550117752
126,13128,Dalvin Cook,MIN,RB,25.0,3,RB,weighted,248.708966002948,5.0,19.9025885845698,22.824336068466703,230.4,285.078585899246,2.0,132.378481986871,5.0,130.424333333333,5.0,145.441197483651,5.0,Dalvin Cook,3116593,False,False,Dalvin Cook,RB,MIN,7.0,0.0,23.0,3116593,1.0,1.0,0.0,0.0,186.81474004962547,61.89422595332252
130,13132,Alvin Kamara,NOS,RB,25.0,3,RB,weighted,230.87273538968103,6.0,5.222249597742519,32.9655365648016,210.3,280.853468099277,3.0,114.54225137360399,6.0,110.324333333333,7.0,141.216079683682,7.0,Alvin Kamara,3054850,False,False,Alvin Kamara,RB,NO,6.0,0.0,23.0,3054850,1.0,1.0,0.0,0.0,186.81474004962547,44.057995340055555
149,13319,Aaron Jones,GBP,RB,26.0,3,RB,weighted,226.740019447075,7.0,3.48985538557858,38.669367925093,188.7,280.32096368983997,3.0,110.409535430998,7.0,88.7243333333333,13.0,140.683575274245,8.0,Aaron Jones,3042519,False,False,Aaron Jones,RB,GB,5.0,0.008,23.0,3042519,0.992,0.999,0.007992,1.8121062354210238,186.81474004962547,39.60587716226995
191,14073,Josh Jacobs,LVR,RB,22.0,1,RB,weighted,224.560952136801,8.0,3.4089463937062003,42.4711234619105,194.9,289.786906222908,3.0,108.230468120725,8.0,94.92433333333331,10.0,150.149517807313,4.0,Josh Jacobs,4047365,False,False,Josh Jacobs,RB,LV,6.0,0.0,23.0,4047365,1.0,1.0,0.0,0.0,186.81474004962547,37.746212087175536
222,14803,Clyde Edwards-Helaire,KCC,RB,21.0,0,RB,weighted,221.93937598619098,9.0,2.6247219433909903,29.1062854946025,209.0,265.930604620946,3.0,105.608891970115,9.0,109.02433333333299,8.0,126.29321620535102,11.0,Clyde Edwards-Helaire,4242214,False,False,Clyde Edwards-Helaire,RB,KC,10.0,0.0,23.0,4242214,1.0,1.0,0.0,0.0,186.81474004962547,35.12463593656551
158,13593,Lamar Jackson,BAL,QB,23.0,2,QB,weighted,365.600993194367,1.0,29.797128683278103,10.085739547788199,361.0,382.25599991351896,1.0,102.070879051629,11.0,117.226666666667,6.0,85.6924726325914,19.0,Lamar Jackson,3916387,False,False,Lamar Jackson,QB,BAL,8.0,0.193,23.0,3916387,0.8069999999999999,0.998,0.192614,70.41986970313981,323.9316311342715,33.62717518249704
116,12652,Michael Thomas,NOS,WR,27.0,4,WR,weighted,206.553950093925,1.0,12.0121056467785,13.5933644862022,188.93900000000002,225.154768683274,1.0,80.01780060776571,17.0,83.2056666666667,16.0,83.23597929472659,20.0,Michael Thomas,2976316,False,False,Michael Thomas,WR,NO,6.0,0.0,23.0,2976316,1.0,1.0,0.0,0.0,172.94657087132694,33.60737922259807
162,13610,Nick Chubb,CLE,RB,25.0,2,RB,weighted,220.364635499999,10.0,4.10230644276947,32.946640243961,194.0,271.020762198361,3.0,104.034151483922,10.0,94.0243333333333,11.0,131.383373782766,9.0,Nick Chubb,3128720,False,False,Nick Chubb,RB,CLE,9.0,0.0,23.0,3128720,1.0,1.0,0.0,0.0,186.81474004962547,33.549895450373526
129,13131,Joe Mixon,CIN,RB,24.0,3,RB,weighted,218.264672585602,11.0,7.07773422954045,29.736869760555,198.4,267.12523728953096,3.0,101.93418856952499,12.0,98.42433333333331,9.0,127.487848873937,10.0,Joe Mixon,3116385,False,False,Joe Mixon,RB,CIN,9.0,0.0,23.0,3116385,1.0,1.0,0.0,0.0,186.81474004962547,31.44993253597653
125,13116,Patrick Mahomes,KCC,QB,25.0,3,QB,weighted,352.036837891683,2.0,35.2628762784054,15.1652504287715,336.18,374.62525767779505,2.0,88.5067237489448,15.0,92.4066666666667,12.0,78.06173039686671,23.0,Patrick Mahomes,3139477,False,False,Pat Mahomes,QB,KC,10.0,0.002,23.0,3139477,0.998,1.0,0.002,0.704073675783366,323.9316311342715,28.04899634389663
193,14079,Miles Sanders,PHI,RB,23.0,1,RB,weighted,214.25998552885702,12.0,10.552709222554,28.5123854585954,188.7,255.64532231396402,3.0,97.9295015127804,13.0,88.7243333333333,14.0,116.00793389837,13.0,Miles Sanders,4045163,False,False,Miles Sanders,RB,PHI,9.0,0.001,23.0,4045163,0.999,1.0,0.001,0.21425998552885703,186.81474004962547,27.417800233752313
81,11675,Davante Adams,GBP,WR,28.0,6,WR,weighted,197.347168932949,2.0,8.38538342033772,5.087043378976889,192.696,204.98944767441898,2.0,70.81101944679,21.0,86.96266666666669,15.0,63.070658285871204,29.0,Davante Adams,16800,False,False,Davante Adams,WR,GB,5.0,0.003,23.0,16800,0.997,1.0,0.003,0.5920415067988469,172.94657087132694,24.327396267437184
112,12630,Kenyan Drake,ARI,RB,26.0,4,RB,weighted,208.113891183266,13.0,10.9845992123192,25.1871190718078,178.7,243.49813423141498,3.0,91.78340716718951,14.0,78.7243333333333,17.0,103.86074581581998,16.0,Kenyan Drake,2979843,False,False,Kenyan Drake,RB,ARI,8.0,0.0,23.0,2979843,1.0,1.0,0.0,0.0,186.81474004962547,21.29915113364052
121,12801,Tyreek Hill,KCC,WR,26.0,4,WR,weighted,191.736519961344,3.0,10.8942506016525,17.9949056326658,167.4,214.236565836299,2.0,65.2003704751846,23.0,61.6666666666667,26.0,72.3177764477516,25.0,Tyreek Hill,3116406,False,False,Tyreek Hill,WR,KC,10.0,0.018000000000000002,23.0,3116406,0.982,0.997,0.017946000000000004,3.44090358722628,172.94657087132694,18.45173000639674
52,10271,Julio Jones,ATL,WR,31.0,9,WR,weighted,186.187051063879,4.0,11.4059184037125,7.096719193366491,174.56400000000002,193.69446619217098,3.0,59.65090157771979,26.0,68.8306666666667,21.0,51.7756768036234,36.0,Julio Jones,13982,False,False,Julio Jones,WR,ATL,10.0,0.11199999999999999,23.0,13982,0.888,0.979054,0.10965404799999999,20.416163834337038,172.94657087132694,11.757546410986238
155,13404,Austin Ekeler,LAC,RB,25.0,3,RB,weighted,194.87100967256902,16.0,12.2314322070507,19.2395957189673,174.0,222.727828068074,4.0,78.5405256564921,19.0,74.0243333333333,19.0,83.0904396524797,21.0,Austin Ekeler,3068267,False,False,Austin Ekeler,RB,LAC,10.0,0.04,23.0,3068267,0.96,0.991008,0.03964032,7.724749182143731,186.81474004962547,7.734018838025804
70,11244,Travis Kelce,KCC,TE,31.0,7,TE,weighted,171.021473521956,1.0,29.0160517429422,10.6702585029879,157.5,182.814272727273,1.0,76.6025882004341,20.0,75.9666666666667,18.0,72.150953806229,26.0,Travis Kelce,15847,False,False,Travis Kelce,TE,KC,10.0,0.41600000000000004,23.0,15847,0.584,1.0,0.41600000000000004,71.1449329851337,158.48911069098426,7.318899893287501
152,13364,Chris Carson,SEA,RB,26.0,3,RB,weighted,194.957922512554,15.0,5.54400211237791,34.6986062149969,166.2,247.96543014455298,3.0,78.627438496477,18.0,66.2243333333333,22.0,108.328041728958,14.0,Chris Carson,3919596,False,False,Chris Carson,RB,SEA,6.0,0.679,23.0,3919596,0.32099999999999995,0.3272704819200001,0.22221665722368006,43.32289784001299,186.81474004962547,2.6139615706000594
69,11232,DeAndre Hopkins,ARI,WR,28.0,7,WR,weighted,174.06477766483002,6.0,5.889288030071159,18.040149157151802,162.5,201.649181818182,4.0,47.528628178670104,38.0,56.7666666666667,28.0,59.7303924296344,30.0,DeAndre Hopkins,15795,False,False,DeAndre Hopkins,WR,ARI,8.0,0.32,23.0,15795,0.6799999999999999,0.869399952,0.27820798464,48.426210990942046,172.94657087132694,0.7603806195820925
92,12150,Todd Gurley,ATL,RB,26.0,5,RB,weighted,199.30066142933998,14.0,4.38619533677885,31.7949075927037,166.1,246.60254090823298,3.0,82.9701774132634,16.0,66.1243333333333,23.0,106.965152492638,15.0,Todd Gurley II,2977644,False,False,Todd Gurley,RB,ATL,10.0,0.9790000000000001,23.0,2977644,0.020999999999999908,0.00021935238596591656,0.00021474598586063232,0.04279901702131971,186.81474004962547,0.2622043489740036
145,13277,Kenny Golladay,DET,WR,27.0,3,WR,weighted,175.497487655504,5.0,4.14979877830348,13.676753248589598,161.4,194.715636363636,4.0,48.9613381693445,34.0,55.6666666666667,29.0,52.796846975089,34.0,Kenny Golladay,2974858,False,False,Kenny Golladay,WR,DET,5.0,0.907,23.0,2974858,0.09299999999999997,0.12887984888447995,0.11689402293822332,20.514607347603047,172.94657087132694,0.23723526092846536
223,14832,CeeDee Lamb,DAL,WR,21.0,0,WR,weighted,107.197690065744,49.0,0.6931748369302819,24.9552654134043,81.5,141.026459074733,8.0,-19.338459420415603,176.0,-24.233333333333302,189.0,-0.8923303138143129,108.0,CeeDee Lamb,4241389,False,False,CeeDee Lamb,WR,DAL,10.0,1.0,23.0,4241389,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
150,13347,Zane Gonzalez,ARI,K,25.0,3,K,weighted,102.460284979099,20.0,0.7671787008028449,20.9611047707201,72.1664396588052,121.04845126485701,1.0,-8.21875252739142,137.0,-19.573501994973,171.0,-10.5490306913591,150.0,Zane Gonzalez,3043234,False,False,Zane Gonzalez,PK,ARI,8.0,1.0,23.0,3043234,0.0,0.0,0.0,0.0,101.308295097445,0.0
141,13189,Evan Engram,NYG,TE,26.0,3,TE,weighted,105.627887476524,7.0,2.91342907263969,10.454373019353499,94.1,117.672525,5.0,11.2090021550024,81.0,12.566666666666698,75.0,7.00920607895625,89.0,Evan Engram,3051876,False,False,Evan Engram,TE,NYG,11.0,1.0,23.0,3051876,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
10,511,Denver Broncos,DEN,DST,,50,DST,weighted,100.470537252833,15.0,1.62436459391317,7.628982156440999,90.0,105.24817877907,10.0,-17.333663221927,171.0,-5.0,119.0,-27.4745465116279,213.0,Broncos D/ST,den,False,False,Denver Defense,DEF,DEN,8.0,1.0,23.0,den,0.0,0.0,0.0,0.0,100.72323169214,-0.0
169,13632,Allen Lazard,GBP,WR,25.0,2,WR,weighted,103.87682744318501,56.0,2.19094778813104,17.347727205673802,91.6,127.440871886121,9.0,-22.659322042974402,197.0,-14.1333333333333,148.0,-14.4779175024264,162.0,Allen Lazard,3128390,False,False,Allen Lazard,WR,GB,5.0,1.0,23.0,3128390,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
122,12930,Robby Anderson,CAR,WR,27.0,4,WR,weighted,103.894021966763,55.0,0.329946119451833,22.4620100485354,79.4,135.052818181818,8.0,-22.642127519396702,196.0,-26.3333333333333,196.0,-6.8659712067292,135.0,Robby Anderson,2574808,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
7,508,Tennessee Titans,TEN,DST,,50,DST,weighted,104.09326281704399,12.0,1.9642305891809602,14.521987335264402,79.0,110.632431192661,8.0,-13.710937657716801,161.0,-16.0,157.0,-22.0902940980371,197.0,Titans D/ST,ten,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,0.0
6,507,Cleveland Browns,CLE,DST,,50,DST,weighted,97.10211900537321,18.0,0.71765039985776,16.2077678887295,80.0,110.686702034884,11.0,-20.702081469387103,186.0,-15.0,152.0,-22.036023255813898,196.0,Browns D/ST,cle,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
42,9075,DeSean Jackson,PHI,WR,34.0,12,WR,weighted,104.06561958278,54.0,0.180194877806173,23.713103010356303,67.6,129.614270462633,8.0,-22.470529903379397,193.0,-38.1333333333333,227.0,-12.304518925914,153.0,DeSean Jackson,11283,False,False,DeSean Jackson,WR,PHI,9.0,1.0,23.0,11283,0.0,1.7259589362605725e-12,1.7259589362605725e-12,1.7961298607639237e-10,172.94657087132694,-0.0
185,13980,Mike Badgley,LAC,K,25.0,2,K,weighted,101.308295097445,23.0,3.71382727188389,27.646194148361698,65.2391139542769,125.989621863095,2.0,-9.37074240904541,145.0,-26.5008276995013,197.0,-5.60786009312137,130.0,Michael Badgley,3123052,False,False,,,,,1.0,,,0.0,1.0,1.0,101.308295097445,101.308295097445,0.0
17,518,Philadelphia Eagles,PHI,DST,,50,DST,weighted,100.72323169214,14.0,0.6448562224366869,13.4090545425928,82.0,110.628995639535,9.0,-17.080968782620598,170.0,-13.0,145.0,-22.0937296511628,198.0,Eagles D/ST,phi,False,False,Philadelphia Defense,DEF,PHI,9.0,1.0,23.0,phi,0.0,1.0,1.0,100.72323169214,100.72323169214,0.0
119,12677,Austin Hooper,CLE,TE,26.0,4,TE,weighted,95.95487041041099,12.0,2.30397763333364,11.2554265502487,82.5,108.60064056939501,5.0,1.53598508888909,99.0,0.9666666666666691,103.0,-2.06267835164874,118.0,Austin Hooper,3043275,False,False,Austin Hooper,TE,CLE,9.0,1.0,23.0,3043275,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
118,12676,Hunter Henry,LAC,TE,26.0,4,TE,weighted,99.86588602525342,10.0,2.65491980643218,14.046049031305401,85.6,119.535363636364,5.0,5.4470007037315,92.0,4.06666666666666,92.0,8.872044715319891,86.0,Hunter Henry,3046439,False,False,Hunter Henry,TE,LAC,10.0,1.0,23.0,3046439,0.0,7.767199999999145e-05,7.767199999999145e-05,0.007756783099352629,158.48911069098426,-0.0
120,12678,Tyler Higbee,LAR,TE,27.0,4,TE,weighted,100.001580433686,9.0,0.8351064074439021,21.114974753171,80.6,130.850836298932,5.0,5.582695112164441,91.0,-0.933333333333323,109.0,20.1875173778886,69.0,Tyler Higbee,2573401,False,False,Tyler Higbee,TE,LAR,9.0,1.0,23.0,2573401,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
4,505,New York Jets,NYJ,DST,,50,DST,weighted,99.6862136865728,16.0,2.1320883682525102,6.122022402781991,85.0,98.22117587209299,11.0,-18.117986788187498,174.0,-10.0,131.0,-34.5015494186047,240.0,Jets D/ST,nyj,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
180,13680,Hayden Hurst,ATL,TE,27.0,2,TE,weighted,98.4670620272315,11.0,2.5282766781956,9.59321847959752,83.0,109.60064056939501,5.0,4.04817670570957,94.0,1.46666666666667,98.0,-1.06267835164874,111.0,Hayden Hurst,3924365,False,False,Hayden Hurst,TE,ATL,10.0,1.0,23.0,3924365,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
20,521,Chicago Bears,CHI,DST,,50,DST,weighted,98.00613163126751,17.0,1.12840292716412,7.77071789446126,86.4,101.75590552325599,11.0,-19.7980688434929,178.0,-8.59999999999999,129.0,-30.966819767441898,226.0,Bears D/ST,chi,False,False,Chicago Defense,DEF,CHI,11.0,1.0,23.0,chi,0.0,0.0,0.0,0.0,100.72323169214,-0.0
95,12157,Duke Johnson,HOU,RB,27.0,5,RB,weighted,96.8744448614505,43.0,2.42920357538127,13.934817150098699,76.649,111.96848623853201,8.0,-19.4560391546262,177.0,-23.3266666666667,184.0,-27.668902177062602,214.0,Duke Johnson,2969962,False,False,,,,,1.0,,,0.0,2.2110720505361354e-15,2.2110720505361354e-15,2.1419637744435714e-13,186.81474004962547,-0.0
99,12184,Jamison Crowder,NYJ,WR,27.0,5,WR,weighted,107.305004201688,48.0,0.37570317057596003,10.2474504525423,94.26,117.930405232558,8.0,-19.2311452844718,175.0,-11.4733333333333,139.0,-23.988384155989298,203.0,Jamison Crowder,2576716,False,False,Jamison Crowder,WR,NYJ,11.0,1.0,23.0,2576716,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
19,520,Washington FootballTeam,WAS,DST,,50,DST,weighted,96.6533384028334,19.0,0.93593008098162,22.9406720640192,71.0,118.377255813953,11.0,-21.1508620719269,187.0,-24.0,188.0,-14.3454694767442,161.0,Washington D/ST,wsh,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
26,527,Carolina Panthers,CAR,DST,,50,DST,weighted,96.1155988081975,20.0,1.05507063688276,22.1504113711546,69.0,115.76951744186,11.0,-21.6886016665629,190.0,-26.0,194.0,-16.9532078488372,177.0,Panthers D/ST,car,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
224,14833,Jerry Jeudy,DEN,WR,21.0,0,WR,weighted,106.66091199648001,50.0,0.514641658034222,19.955625982641603,86.7,133.635925266904,8.0,-19.8752374896798,179.0,-19.033333333333303,169.0,-8.28286412164348,140.0,Jerry Jeudy,4241463,False,False,Jerry Jeudy,WR,DEN,8.0,1.0,23.0,4241463,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
207,14137,Noah Fant,DEN,TE,23.0,1,TE,weighted,95.92270028766069,13.0,5.20083347344136,11.8660985531013,82.605,109.98515249266899,5.0,1.5038149661388303,100.0,1.07166666666667,102.0,-0.6781664283751351,106.0,Noah Fant,4036131,False,False,Noah Fant,TE,DEN,8.0,1.0,23.0,4036131,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
11,512,Kansas City Chiefs,KCC,DST,,50,DST,weighted,107.191811980919,10.0,1.9337874189622097,14.154735185690999,84.0,115.50011627907,6.0,-10.6123884938418,149.0,-11.0,137.0,-17.2226090116279,179.0,Chiefs D/ST,kc,False,False,Kansas City Defense,DEF,KC,10.0,1.0,23.0,kc,0.0,0.0,0.0,0.0,100.72323169214,0.0
89,11936,Chris Boswell,PIT,K,31.0,6,K,weighted,102.475970378247,19.0,0.315549686704514,25.6734920719868,70.353712036038,129.514471869784,1.0,-8.20306712824384,136.0,-21.3862296177402,175.0,-2.08301008643232,119.0,Chris Boswell,17372,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
40,8742,Mason Crosby,GBP,K,36.0,13,K,weighted,106.564496949674,13.0,1.05860532254736,23.7396572975089,79.1243866575238,134.10886718465,1.0,-4.11454055681669,119.0,-12.615554996254401,144.0,2.51138522843419,97.0,Mason Crosby,10636,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
91,11947,Brandon McManus,DEN,K,29.0,6,K,weighted,103.18829614397801,18.0,0.7201684653046949,21.482520995698298,76.7845638481102,122.052025726744,1.0,-7.49074136251294,133.0,-14.9553778056681,151.0,-9.54545622947175,147.0,Brandon McManus,16339,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
172,13639,Anthony Miller,CHI,WR,26.0,2,WR,weighted,108.826672166215,47.0,1.5753250324987098,12.5227036150343,99.1,127.343220640569,8.0,-17.709477319944998,173.0,-6.63333333333333,125.0,-14.575568747978,166.0,Anthony Miller,3050487,False,False,Anthony Miller,WR,CHI,11.0,1.0,23.0,3050487,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
154,13403,Younghoe Koo,ATL,K,26.0,3,K,weighted,107.52991426040501,10.0,0.560110005116499,29.773056254268397,73.0172945841123,135.542534627796,1.0,-3.1491232460856495,114.0,-18.7226470696659,166.0,3.9450526715795897,95.0,Younghoe Koo,3049899,False,False,Younghoe Koo,PK,ATL,10.0,1.0,23.0,3049899,0.0,0.0,0.0,0.0,101.308295097445,0.0
146,13290,Tarik Cohen,CHI,RB,25.0,3,RB,weighted,107.851138230544,41.0,7.08751549972968,10.523487517117198,100.8,124.610697674419,7.0,-8.47934578553262,139.0,0.824333333333342,104.0,-15.0266907411761,169.0,Tarik Cohen,3066158,False,False,Tarik Cohen,RB,CHI,11.0,1.0,23.0,3066158,0.0,0.0,0.0,0.0,186.81474004962547,-0.0
